Date,SearchInterest
15/03/2020,54
22/03/2020,51
29/03/2020,53
05/04/2020,56
12/04/2020,60
19/04/2020,58
26/04/2020,63
03/05/2020,67
10/05/2020,63
17/05/2020,99
24/05/2020,62
31/05/2020,73
07/06/2020,71
14/06/2020,71
21/06/2020,69
28/06/2020,67
05/07/2020,67
12/07/2020,79
19/07/2020,72
26/07/2020,70
02/08/2020,75
09/08/2020,77
16/08/2020,88
23/08/2020,76
30/08/2020,81
06/09/2020,77
13/09/2020,73
20/09/2020,78
27/09/2020,72
04/10/2020,72
11/10/2020,65
18/10/2020,73
25/10/2020,64
01/11/2020,58
08/11/2020,62
15/11/2020,61
22/11/2020,57
29/11/2020,58
06/12/2020,57
13/12/2020,67
20/12/2020,49
27/12/2020,45
03/01/2021,58
10/01/2021,67
17/01/2021,67
24/01/2021,62
31/01/2021,65
07/02/2021,62
14/02/2021,64
21/02/2021,63
28/02/2021,60
07/03/2021,59
14/03/2021,62
21/03/2021,65
28/03/2021,59
04/04/2021,57
11/04/2021,63
18/04/2021,59
25/04/2021,58
02/05/2021,54
09/05/2021,57
16/05/2021,50
23/05/2021,60
30/05/2021,64
06/06/2021,60
13/06/2021,58
20/06/2021,58
27/06/2021,56
04/07/2021,60
11/07/2021,56
18/07/2021,59
25/07/2021,57
01/08/2021,62
08/08/2021,59
15/08/2021,60
22/08/2021,54
29/08/2021,58
05/09/2021,59
12/09/2021,69
19/09/2021,68
26/09/2021,60
03/10/2021,60
10/10/2021,67
17/10/2021,58
24/10/2021,61
31/10/2021,58
07/11/2021,59
14/11/2021,59
21/11/2021,52
28/11/2021,57
05/12/2021,60
12/12/2021,63
19/12/2021,50
26/12/2021,52
02/01/2022,57
09/01/2022,67
16/01/2022,71
23/01/2022,78
30/01/2022,70
06/02/2022,75
13/02/2022,74
20/02/2022,82
27/02/2022,77
06/03/2022,73
13/03/2022,73
20/03/2022,74
27/03/2022,85
03/04/2022,77
10/04/2022,68
17/04/2022,73
24/04/2022,74
01/05/2022,74
08/05/2022,69
15/05/2022,70
22/05/2022,69
29/05/2022,69
05/06/2022,66
12/06/2022,73
19/06/2022,68
26/06/2022,74
03/07/2022,74
10/07/2022,71
17/07/2022,79
24/07/2022,76
31/07/2022,71
07/08/2022,70
14/08/2022,73
21/08/2022,81
28/08/2022,71
04/09/2022,69
11/09/2022,72
18/09/2022,70
25/09/2022,70
02/10/2022,73
09/10/2022,72
16/10/2022,67
23/10/2022,71
30/10/2022,67
06/11/2022,65
13/11/2022,67
20/11/2022,52
27/11/2022,63
04/12/2022,65
11/12/2022,68
18/12/2022,49
25/12/2022,50
01/01/2023,59
08/01/2023,69
15/01/2023,69
22/01/2023,75
29/01/2023,78
05/02/2023,71
12/02/2023,69
19/02/2023,69
26/02/2023,68
05/03/2023,71
12/03/2023,66
19/03/2023,74
26/03/2023,75
02/04/2023,70
09/04/2023,68
16/04/2023,68
23/04/2023,68
30/04/2023,67
07/05/2023,70
14/05/2023,73
21/05/2023,74
28/05/2023,73
04/06/2023,70
11/06/2023,76
18/06/2023,66
25/06/2023,76
02/07/2023,75
09/07/2023,75
16/07/2023,77
23/07/2023,79
30/07/2023,74
06/08/2023,71
13/08/2023,72
20/08/2023,74
27/08/2023,74
03/09/2023,75
10/09/2023,80
17/09/2023,81
24/09/2023,77
01/10/2023,74
08/10/2023,70
15/10/2023,68
22/10/2023,72
29/10/2023,69
05/11/2023,72
12/11/2023,69
19/11/2023,66
26/11/2023,77
03/12/2023,74
10/12/2023,72
17/12/2023,62
24/12/2023,51
31/12/2023,68
07/01/2024,77
14/01/2024,77
21/01/2024,82
28/01/2024,85
04/02/2024,82
11/02/2024,80
18/02/2024,81
25/02/2024,87
03/03/2024,77
10/03/2024,74
17/03/2024,81
24/03/2024,76
31/03/2024,79
07/04/2024,76
14/04/2024,75
21/04/2024,79
28/04/2024,72
05/05/2024,74
12/05/2024,81
19/05/2024,74
26/05/2024,75
02/06/2024,68
09/06/2024,67
16/06/2024,71
23/06/2024,73
30/06/2024,75
07/07/2024,76
14/07/2024,79
21/07/2024,74
28/07/2024,69
04/08/2024,76
11/08/2024,85
18/08/2024,82
25/08/2024,80
01/09/2024,82
08/09/2024,91
15/09/2024,86
22/09/2024,82
29/09/2024,83
06/10/2024,81
13/10/2024,77
20/10/2024,78
27/10/2024,81
03/11/2024,83
10/11/2024,83
17/11/2024,78
24/11/2024,66
01/12/2024,80
08/12/2024,79
15/12/2024,68
22/12/2024,88
29/12/2024,79
05/01/2025,94
12/01/2025,100
19/01/2025,89
26/01/2025,87
02/02/2025,85
09/02/2025,84
16/02/2025,88
23/02/2025,84
02/03/2025,88
09/03/2025,85
16/03/2025,95
